TRIAL,PTN ACC,PTN MSE,NON ACC,NON MSE
1,0.7925925925925926,0.2074074074074074,0.5851851851851851,0.4148148148148148
2,0.7592592592592593,0.24074074074074073,0.5636363636363636,0.43636363636363634
3,0.737037037037037,0.26296296296296295,0.5844155844155844,0.4155844155844156
4,0.7518518518518519,0.24814814814814815,0.5506493506493506,0.44935064935064933
5,0.025925925925925925,0.9740740740740741,0.9662337662337662,0.033766233766233764
6,0.025925925925925925,0.9740740740740741,0.9777227722772277,0.022277227722772276
7,0.7592592592592593,0.24074074074074073,0.6529051987767585,0.3470948012232416
8,0.7407407407407407,0.25925925925925924,0.7418755803156918,0.25812441968430827
